Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Wall_Loss\SMPS_20230126_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
 38.5,0.000,0.101,0.036,0.000,0.000,0.048,2.531,0.917,1.055,0.816,0.835,0.754,0.743,223.714,159.295,1664.448,715.648,387.520,225.015,144.624,91.523,62.570,43.384,29.508,19.872,15.974,10.784,7.522,6.395,3.583,4.951,4.556,3.652,2.078,1.354,2.186,0.890,1.201,0.274,0.404,0.392,0.144,0.142,0.000,0.000,0.499,0.158,0.508,0.271,0.000,0.453,0.167,0.000,0.117,0.256,0.043,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.072,0.020,0.045,0.000,0.154,0.000,0.125,0.000,0.000,0.000,0.089,0.000,0.155,0.047,0.025,0.000,0.033,0.021,0.142,0.000,0.000,0.074
 40.0,0.092,0.046,0.011,0.000,0.049,0.000,1.701,1.042,0.627,0.940,1.114,0.681,0.621,253.084,159.703,1748.809,797.343,439.695,259.421,163.458,109.824,72.987,51.630,35.178,25.291,18.871,15.109,11.519,8.907,6.390,5.763,4.054,3.982,3.458,2.303,1.383,1.585,1.399,0.906,0.580,0.441,0.000,0.024,0.063,0.470,0.000,0.279,0.000,0.038,0.121,0.025,0.057,0.000,0.251,0.000,0.000,0.000,0.009,0.000,0.000,0.107,0.000,0.000,0.000,0.034,0.000,0.096,0.044,0.007,0.076,0.000,0.000,0.008,0.009,0.115,0.124,0.092,0.031,0.038,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000
 41.4,0.041,0.093,0.000,0.047,0.046,0.046,2.393,0.974,0.875,0.901,0.775,0.739,0.313,283.335,158.947,1913.654,885.756,489.042,295.707,189.372,129.887,87.232,66.748,43.297,32.341,25.312,18.058,14.137,12.787,7.448,6.840,4.432,3.225,3.494,3.403,1.937,0.417,1.534,1.386,1.442,0.429,0.000,0.039,0.207,0.242,0.191,0.000,0.000,0.000,0.000,0.000,0.143,0.058,0.000,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.000,0.254,0.000,0.000,0.000,0.000,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.049,0.000,0.000,0.000,0.045,0.000,0.000,0.000,0.117
 42.9,0.186,0.000,0.042,0.000,0.047,0.000,1.945,0.986,0.792,0.587,0.561,0.621,0.598,297.422,148.020,2020.517,948.857,551.246,341.378,212.510,152.613,107.942,77.581,49.759,43.108,31.114,25.959,15.942,13.674,11.290,9.440,6.632,6.436,2.903,2.859,1.878,1.501,2.199,2.034,1.226,0.790,0.000,0.559,0.000,0.073,0.000,0.000,0.267,0.000,0.288,0.000,0.447,0.076,0.000,0.531,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.178,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.000,0.000,0.088,0.000,0.000,0.121,0.000,0.000,0.000,0.000
 44.5,0.043,0.000,0.000,0.045,0.000,0.043,1.591,0.735,0.619,0.383,0.754,0.619,0.412,277.128,147.093,2170.258,1019.308,604.211,364.538,251.198,176.902,126.254,93.158,61.317,48.331,34.090,26.406,22.511,17.659,13.560,9.786,8.533,7.075,5.562,4.900,2.975,1.222,2.826,0.251,1.615,0.936,0.269,1.096,0.940,0.285,0.506,0.000,0.000,0.529,0.000,0.000,0.058,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.062,0.000,0.000,0.000,0.000,0.000,0.000
 46.1,0.042,0.000,0.000,0.000,0.000,0.040,1.249,0.766,0.560,0.289,0.248,0.385,0.545,270.887,142.802,2318.738,1123.824,685.901,426.175,306.192,206.034,143.625,107.058,75.566,59.720,43.235,32.744,29.680,24.978,18.724,13.421,8.881,10.108,6.718,6.034,4.676,1.879,2.765,2.269,1.915,0.098,0.661,0.000,0.758,0.143,0.000,0.379,0.000,0.000,0.000,0.000,0.681,0.000,0.000,0.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 47.8,0.086,0.000,0.040,0.043,0.038,0.039,1.225,0.673,0.493,0.589,0.591,0.373,0.372,269.654,136.679,2495.985,1227.860,758.362,486.645,348.356,246.514,175.194,142.789,100.603,78.624,61.357,47.889,40.295,29.692,21.813,22.030,16.276,14.853,10.219,10.174,7.953,7.561,6.165,4.938,3.845,4.212,2.369,1.655,1.594,1.149,0.000,0.586,0.291,1.147,0.000,0.154,0.000,0.749,0.000,0.015,0.123,0.076,0.218,0.000,0.000,0.178,0.000,0.000,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 49.6,0.000,0.042,0.040,0.038,0.034,0.037,0.866,0.366,0.402,0.368,0.402,0.363,0.312,267.875,144.015,2686.668,1371.534,880.319,572.158,416.099,291.309,224.491,180.974,131.998,107.547,85.723,64.585,56.856,42.067,36.922,30.930,31.053,23.007,19.946,18.661,17.337,11.391,7.361,8.477,6.639,7.074,6.591,3.894,4.081,2.539,3.587,2.535,4.475,3.269,3.335,2.688,1.734,1.512,0.708,1.041,0.977,1.301,1.250,0.468,0.466,0.266,0.445,0.033,0.681,0.286,0.630,0.000,0.363,0.328,0.000,0.435,0.320,0.326,0.120,0.041,0.218,0.123,0.057,0.450,0.248,0.408,0.347,0.510,0.163,0.435,0.166,0.062
 51.4,0.000,0.041,0.000,0.000,0.000,0.041,0.931,0.479,0.483,0.605,0.159,0.358,0.310,261.115,133.915,2897.704,1518.968,1010.876,674.094,484.482,349.586,275.788,223.306,160.476,136.749,113.164,80.654,73.246,59.783,52.883,41.179,34.871,30.816,28.472,29.725,21.957,18.937,14.328,13.589,12.455,11.554,8.173,6.027,7.186,5.598,6.488,6.511,5.484,4.214,2.983,4.024,3.589,3.574,2.314,2.068,1.083,2.447,1.484,1.328,1.598,0.823,1.206,1.205,1.265,1.187,1.281,0.364,1.381,1.723,0.273,0.795,0.554,0.442,0.907,0.778,0.554,0.248,0.417,0.401,0.000,0.130,0.205,0.425,0.308,0.351,0.324,0.629
 53.3,0.078,0.040,0.000,0.076,0.039,0.038,0.775,0.315,0.473,0.237,0.154,0.356,0.155,238.938,133.230,3094.230,1658.431,1100.470,778.786,552.991,399.950,323.693,270.112,196.620,166.214,143.668,113.467,89.622,79.275,69.989,58.747,49.195,42.374,37.622,33.344,26.857,24.946,20.430,18.431,17.684,15.193,12.115,9.770,12.158,8.528,10.323,8.579,7.528,7.776,6.304,5.279,4.806,4.044,4.009,3.171,3.147,3.141,3.208,2.989,2.648,2.050,1.648,2.322,2.193,1.473,1.729,1.341,1.497,1.988,1.226,0.708,1.114,1.490,0.799,0.806,1.077,1.047,1.108,0.379,0.496,0.660,0.995,0.578,0.679,0.769,0.942,0.907
 55.2,0.115,0.000,0.000,0.037,0.117,0.037,0.562,0.133,0.229,0.152,0.468,0.154,0.265,215.824,133.907,3358.589,1827.682,1241.161,870.870,655.949,476.624,381.849,318.912,239.263,202.562,171.865,137.903,109.506,103.418,87.581,72.222,63.534,55.911,43.582,45.867,35.936,32.651,24.434,22.910,20.195,21.643,17.652,16.047,16.499,13.532,12.212,11.553,10.633,11.663,9.107,7.326,6.920,7.381,5.639,4.952,3.544,5.314,3.876,4.732,3.282,3.998,2.978,3.065,3.545,2.542,2.119,3.889,2.205,3.549,2.198,1.598,1.342,1.785,0.931,0.883,1.684,2.023,1.209,1.297,0.907,1.118,1.453,1.112,0.836,0.930,0.927,0.916
 57.3,0.071,0.038,0.034,0.036,0.000,0.037,0.376,0.364,0.144,0.439,0.225,0.106,0.341,201.966,121.673,3624.098,2017.091,1388.213,980.677,734.971,550.248,445.162,379.185,282.972,251.800,208.225,166.517,136.151,123.368,104.854,93.453,81.928,71.024,58.077,56.190,46.690,40.209,35.318,30.104,30.832,29.336,23.474,22.771,25.245,18.755,18.143,14.745,13.430,13.813,12.498,12.165,10.696,10.779,8.797,7.059,8.112,7.823,6.616,7.821,6.998,5.362,3.549,3.489,4.948,4.175,3.964,3.128,3.024,4.312,3.309,2.759,1.367,2.238,2.795,2.491,2.142,2.260,2.049,1.508,1.879,1.994,1.787,1.473,1.913,1.919,0.881,1.267
 59.4,0.108,0.038,0.036,0.000,0.035,0.035,0.602,0.356,0.258,0.127,0.332,0.145,0.259,193.262,122.231,3878.096,2216.154,1534.028,1082.205,848.137,644.054,510.141,437.554,333.994,289.052,240.961,212.012,172.228,155.387,126.541,118.151,101.744,94.364,79.809,68.863,59.718,57.571,48.441,42.316,40.453,36.926,34.471,31.403,28.786,29.218,21.476,22.020,20.620,18.681,17.645,16.118,14.160,14.190,12.687,10.459,9.660,11.271,9.255,9.776,9.934,7.884,7.039,6.055,7.388,5.560,5.930,5.395,4.228,4.643,4.209,4.556,2.768,3.450,5.191,2.909,3.396,2.842,1.836,2.403,3.365,3.388,2.154,1.666,3.071,1.865,2.521,1.695
 61.5,0.000,0.035,0.070,0.037,0.000,0.000,0.465,0.025,0.181,0.176,0.169,0.146,0.068,203.226,116.675,4093.441,2438.881,1700.398,1207.970,970.208,744.427,591.645,500.229,393.633,349.588,288.944,233.151,207.139,195.606,151.787,146.535,130.308,113.706,105.026,96.585,75.494,74.003,57.135,53.368,53.760,49.086,40.665,42.610,36.475,35.325,29.696,27.609,29.149,26.392,21.207,22.592,20.439,17.388,18.790,12.879,15.813,14.117,12.879,11.254,11.417,9.247,9.902,9.228,9.487,9.690,6.935,7.957,8.783,6.205,5.754,6.873,6.303,7.196,5.010,4.652,4.017,3.821,4.462,4.501,3.354,4.327,3.755,2.406,3.020,3.010,3.311,2.338
 63.8,0.023,0.000,0.000,0.000,0.000,0.000,0.285,0.140,0.178,0.253,0.139,0.034,0.132,187.755,112.173,4441.678,2692.034,1861.297,1391.023,1093.352,845.239,664.256,585.544,465.928,394.637,343.812,300.258,260.243,228.326,183.083,180.511,161.747,142.366,127.976,120.275,91.714,92.246,76.016,73.565,64.983,63.612,55.578,50.730,47.514,44.937,42.238,40.958,36.013,31.203,29.507,29.750,25.673,24.954,23.876,19.529,20.324,18.681,16.244,16.531,15.948,12.175,15.144,13.107,12.298,11.183,10.465,9.432,8.769,9.748,8.164,8.427,7.557,8.167,7.444,6.057,6.146,5.868,5.522,4.490,6.527,6.018,4.999,4.055,4.183,4.772,4.659,4.196
 66.1,0.032,0.034,0.034,0.000,0.000,0.070,0.520,0.031,0.064,0.206,0.169,0.101,0.130,170.027,110.702,4773.050,2944.478,2084.595,1551.660,1235.677,970.620,774.183,687.669,533.118,468.155,417.534,355.040,302.487,278.391,219.927,223.851,197.032,175.477,157.485,133.565,117.527,122.824,95.961,91.286,85.367,77.096,72.237,67.235,62.935,53.316,54.551,48.141,47.080,41.727,40.413,38.020,30.072,28.660,33.421,25.895,27.234,22.476,22.907,22.228,21.411,17.409,19.517,15.354,17.860,14.213,14.012,15.675,12.894,12.631,11.382,10.942,10.966,9.572,10.909,9.596,8.950,8.425,9.304,8.072,6.877,6.440,5.702,5.402,6.435,6.211,5.816,4.894
 68.5,0.000,0.000,0.033,0.000,0.000,0.000,0.099,0.129,0.235,0.153,0.129,0.136,0.066,161.091,107.581,5147.678,3229.874,2276.106,1757.775,1344.982,1095.854,886.613,777.265,613.360,543.227,485.239,421.255,355.686,328.848,269.685,265.232,246.135,215.908,186.287,162.841,147.207,134.634,116.154,111.745,104.081,100.432,89.991,84.207,76.747,74.152,63.964,58.482,57.876,49.528,48.676,47.381,39.028,37.610,41.339,32.400,32.924,32.062,29.670,25.523,25.737,21.902,24.945,20.895,20.277,18.617,18.464,17.843,16.813,14.926,16.207,15.276,13.363,13.102,13.449,12.007,9.831,11.184,11.728,11.766,9.736,9.780,8.657,7.123,8.593,8.430,8.771,8.438
 71.0,0.000,0.000,0.012,0.000,0.096,0.069,0.135,0.096,0.135,0.030,0.147,0.092,0.192,150.064,0.000,5276.637,3258.926,2310.662,1776.123,1379.250,1118.580,858.474,783.832,618.448,522.553,467.915,422.652,365.577,333.284,269.195,260.694,231.892,204.133,194.042,163.109,134.373,136.315,120.494,112.145,110.214,90.683,85.523,78.963,79.415,67.374,65.736,57.001,50.821,45.612,49.924,46.203,40.548,35.731,41.221,38.702,29.249,27.781,28.019,27.729,26.087,24.177,24.811,23.651,20.528,22.845,18.712,17.237,14.739,14.634,16.938,13.390,11.015,12.577,10.110,10.505,13.012,9.819,10.724,9.077,9.231,7.406,9.186,7.347,8.337,7.615,8.062,6.923
 73.7,0.000,0.000,0.027,0.065,0.032,0.000,0.118,0.090,0.100,0.134,0.029,0.156,0.186,140.022,0.000,5343.922,3311.999,2377.122,1789.347,1408.167,1108.873,886.316,801.501,623.239,560.346,477.059,416.213,349.889,318.812,260.700,261.991,244.546,219.839,192.325,156.660,146.331,139.745,123.703,118.248,103.834,96.593,91.001,82.646,75.828,70.600,61.041,56.860,47.594,44.841,48.021,48.415,38.515,39.225,37.368,36.744,29.660,31.885,30.478,27.450,25.460,24.359,22.302,22.091,18.432,17.027,17.154,19.294,13.912,11.667,13.464,11.662,14.130,11.827,11.586,11.134,11.409,10.774,11.934,8.407,10.916,9.552,9.428,8.382,9.091,6.480,8.416,5.270
 76.4,0.030,0.000,0.027,0.062,0.000,0.000,0.226,0.116,0.089,0.033,0.051,0.010,0.089,135.280,0.000,5738.413,3573.826,2552.752,1940.487,1509.280,1261.365,997.332,855.507,707.824,629.644,517.561,465.209,410.295,369.096,312.639,292.661,274.192,252.499,220.608,182.949,165.895,157.164,133.555,137.369,117.737,107.152,107.624,104.362,84.790,82.968,73.349,65.996,67.906,56.881,52.931,52.110,43.877,44.365,46.975,43.249,40.945,35.521,33.510,32.536,27.089,31.619,26.872,26.004,19.694,24.631,20.781,18.040,19.949,16.593,18.491,14.128,17.116,12.251,14.502,14.250,11.747,11.617,14.405,14.041,10.633,12.035,10.080,8.744,8.262,9.389,8.664,8.269
 79.1,0.000,0.000,0.000,0.000,0.013,0.029,0.148,0.094,0.020,0.013,0.029,0.049,0.063,129.110,0.000,5994.747,3750.107,2746.950,2080.426,1704.678,1377.391,1055.123,959.719,722.094,682.432,578.141,526.921,457.720,402.139,342.091,335.633,307.236,288.463,258.310,237.679,195.634,172.081,166.382,152.865,139.004,117.349,113.816,103.351,92.546,91.821,82.088,76.760,75.401,65.442,68.920,59.034,55.890,53.068,47.971,49.235,47.028,39.320,42.852,38.454,33.206,30.389,32.103,28.070,24.712,26.167,23.553,22.857,23.080,18.586,17.503,19.191,20.927,17.169,16.692,17.767,14.591,11.691,12.658,12.850,13.040,10.966,9.243,10.701,10.852,10.664,9.975,10.614
 82.0,0.029,0.000,0.030,0.030,0.000,0.000,0.088,0.094,0.062,0.051,0.000,0.000,0.000,127.751,0.000,6274.026,3974.197,2962.520,2276.620,1808.694,1497.947,1217.933,1045.160,861.598,742.557,637.127,555.188,510.577,430.070,395.184,383.145,353.750,325.271,279.800,256.259,210.975,191.751,189.554,175.111,139.902,130.982,141.774,124.051,100.011,104.545,93.096,89.490,85.768,74.071,74.530,66.857,62.104,52.119,56.675,57.493,55.025,40.993,46.805,39.072,36.091,34.763,36.555,33.385,26.606,31.046,26.365,25.104,27.863,18.455,24.017,23.666,22.704,17.233,22.727,19.793,16.372,14.449,16.509,15.389,15.990,16.594,13.701,13.695,13.911,11.666,11.573,12.205
 85.1,0.043,0.000,0.026,0.000,0.000,0.013,0.025,0.144,0.057,0.189,0.059,0.096,0.053,120.179,0.000,6680.436,4268.831,3179.747,2416.428,1979.518,1654.197,1325.929,1162.304,911.781,841.232,766.604,618.448,563.416,486.559,431.718,446.568,391.863,345.919,311.299,289.911,247.242,225.406,215.845,192.556,165.058,153.498,144.193,142.081,113.208,118.442,108.651,92.840,101.275,93.126,84.779,73.716,66.515,62.281,61.766,61.010,56.854,50.928,48.078,45.797,40.764,38.911,41.208,42.153,33.566,31.914,35.446,30.704,28.517,24.116,27.265,24.021,28.715,20.498,21.222,20.076,18.406,16.027,22.830,20.599,16.767,13.457,14.823,14.555,13.349,12.421,12.849,11.975
 88.2,0.020,0.000,0.000,0.000,0.020,0.019,0.063,0.112,0.019,0.112,0.032,0.000,0.017,115.239,0.000,7212.920,4608.001,3416.781,2673.091,2107.721,1805.945,1469.467,1306.279,993.978,937.610,832.463,677.128,622.785,543.331,475.716,487.210,425.781,394.603,353.189,316.025,288.815,244.226,239.758,228.711,193.986,174.411,159.819,147.366,147.004,130.598,126.384,108.722,99.985,93.487,90.922,80.172,77.860,70.134,69.777,69.986,71.193,55.462,60.545,52.233,44.410,42.796,39.168,43.778,35.048,34.002,37.500,34.879,36.295,30.322,27.900,25.469,29.740,24.086,23.192,21.626,25.008,21.840,24.127,20.373,16.288,15.018,15.710,15.978,14.522,14.704,12.822,18.417
 91.4,0.022,0.015,0.028,0.000,0.000,0.061,0.029,0.044,0.018,0.017,0.116,0.017,0.041,111.294,0.000,7570.465,5022.939,3674.590,2903.591,2403.603,1959.329,1605.489,1414.630,1127.258,1050.901,953.430,783.535,712.800,581.907,591.456,537.373,472.719,451.311,375.452,358.323,318.003,283.836,276.234,246.467,211.654,184.336,195.262,179.436,161.071,150.472,141.655,115.176,110.113,109.158,113.319,87.821,93.636,87.740,75.978,84.771,74.671,65.777,68.672,61.560,50.076,60.059,44.846,48.845,44.620,41.725,38.944,35.259,34.692,33.751,33.195,30.208,32.916,25.885,29.423,27.622,26.185,26.288,22.466,24.620,19.586,18.868,18.374,20.782,19.295,16.364,16.255,17.988
 94.7,0.086,0.045,0.042,0.023,0.000,0.030,0.026,0.016,0.018,0.000,0.000,0.011,0.082,109.453,0.000,7999.347,5298.527,3930.991,3053.328,2593.198,2117.670,1763.982,1554.302,1207.681,1192.689,1080.528,872.145,792.003,695.121,647.632,600.513,530.542,496.235,434.843,386.845,371.223,325.568,294.511,263.720,245.956,220.167,218.109,209.285,185.930,160.314,155.879,132.235,138.490,134.183,119.046,110.389,107.864,99.013,86.312,90.384,85.100,76.453,82.127,69.800,61.905,61.712,51.811,49.457,51.332,43.879,46.522,47.139,35.651,32.932,37.277,39.062,37.399,34.293,33.776,26.681,29.016,25.827,24.990,25.795,19.697,22.508,22.122,19.183,21.378,17.273,16.765,18.799
 98.2,0.000,0.000,0.000,0.025,0.030,0.000,0.081,0.023,0.043,0.049,0.054,0.037,0.056,105.801,0.000,8426.968,5814.229,4246.841,3403.581,2816.430,2333.320,1968.758,1708.070,1408.816,1303.535,1152.307,964.078,905.798,796.287,671.097,675.533,592.036,559.083,481.676,465.711,413.504,333.474,336.307,304.974,275.765,223.640,258.931,226.407,215.606,196.912,178.138,164.541,145.830,150.785,128.159,116.065,122.687,117.727,90.406,101.229,90.453,88.364,85.649,76.323,67.225,73.718,57.275,62.065,59.958,53.500,53.029,42.356,44.731,44.739,39.762,45.696,38.192,38.114,35.394,33.011,35.389,29.667,30.106,28.336,28.497,27.201,28.716,25.197,21.335,19.708,20.537,23.720
101.8,0.015,0.000,0.013,0.036,0.000,0.000,0.018,0.055,0.049,0.118,0.049,0.015,0.012,97.333,0.000,8918.640,6121.004,4654.065,3652.686,3162.063,2521.082,2170.800,1903.594,1599.727,1461.133,1328.226,1094.232,1034.871,897.515,798.974,733.306,641.849,632.410,560.971,551.278,443.912,430.441,377.042,344.615,324.864,277.644,275.534,257.199,246.382,203.153,210.976,190.239,183.354,170.811,156.010,134.059,148.318,137.885,104.323,122.847,108.753,102.202,96.405,89.257,73.389,94.663,69.388,68.730,62.337,56.741,57.466,52.695,50.446,52.422,44.777,50.061,49.108,44.505,45.603,35.431,38.737,33.271,28.537,28.184,30.660,29.689,26.317,28.317,29.899,24.892,24.618,23.445
105.5,0.061,0.000,0.119,0.049,0.031,0.000,0.014,0.022,0.000,0.000,0.123,0.054,0.067,89.687,0.000,9397.195,6506.696,4995.952,3939.019,3409.392,2708.569,2398.134,2120.627,1779.312,1655.609,1536.771,1191.201,1146.332,954.310,891.458,843.442,773.169,704.520,621.459,579.011,534.803,470.622,437.742,392.476,351.174,341.749,317.392,297.411,272.933,251.135,235.510,217.509,210.839,202.462,171.160,151.817,155.743,156.463,129.489,130.624,126.016,118.979,113.279,88.925,89.541,98.600,82.418,77.548,75.870,65.983,63.268,65.042,61.667,62.445,50.684,59.482,54.336,51.002,49.816,46.156,38.451,38.571,34.082,39.728,36.234,35.957,29.855,31.284,29.838,30.975,27.145,31.575
109.4,0.045,0.025,0.022,0.000,0.000,0.024,0.082,0.038,0.000,0.000,0.000,0.047,0.066,86.394,0.000,9966.457,7017.968,5327.928,4256.420,3695.755,3066.863,2602.208,2314.508,1970.021,1781.895,1661.645,1379.459,1262.600,1117.044,1007.048,942.452,845.551,805.855,695.512,671.697,566.410,540.316,468.027,428.512,392.642,350.719,356.562,337.915,323.263,287.337,264.852,246.238,242.471,233.031,211.146,177.493,180.375,177.554,157.785,143.854,136.380,123.123,121.712,117.551,103.675,104.111,92.045,93.572,88.400,83.161,77.263,68.232,74.059,71.961,70.913,69.890,56.019,57.868,53.696,48.291,47.843,44.359,43.828,43.606,35.840,35.782,35.812,35.708,31.973,30.107,32.727,32.391
113.4,0.008,0.000,0.000,0.017,0.000,0.053,0.027,0.067,0.041,0.000,0.060,0.081,0.044,79.824,0.000,10453.787,7459.108,5740.487,4577.947,4014.725,3296.181,2806.060,2566.549,2151.201,1967.693,1862.015,1551.548,1389.899,1256.475,1104.780,1067.310,983.420,914.393,793.001,762.258,661.578,610.686,569.520,491.113,474.085,425.314,382.144,366.021,370.043,317.230,320.488,281.303,259.917,250.317,247.065,214.973,215.311,202.645,179.510,164.807,155.437,152.643,143.106,130.475,131.126,123.645,110.459,105.250,114.138,93.682,94.265,90.634,83.102,82.520,69.166,82.748,70.945,64.881,60.186,56.696,59.924,55.135,52.368,48.328,42.447,44.551,44.118,47.822,40.093,37.690,41.179,35.551
117.6,0.027,0.017,0.048,0.030,0.081,0.000,0.060,0.018,0.049,0.076,0.014,0.057,0.009,75.329,0.000,11154.628,7933.062,6149.202,5089.466,4165.072,3648.178,3032.841,2805.284,2420.583,2210.401,2135.198,1667.166,1573.811,1434.358,1268.071,1162.679,1089.218,1038.190,894.951,817.278,737.744,712.070,621.196,586.041,541.406,493.729,472.923,439.889,418.537,386.667,367.125,329.738,295.016,300.363,273.029,261.332,231.026,230.152,213.395,188.842,182.296,180.122,170.525,155.955,147.536,137.087,132.795,129.454,127.620,105.851,99.415,100.339,92.023,97.267,85.309,85.232,76.888,78.674,66.196,62.214,68.993,70.672,62.563,64.674,57.890,56.939,53.430,54.102,43.196,40.489,43.115,42.535
121.9,0.000,0.000,0.000,0.000,0.053,0.028,0.029,0.000,0.000,0.056,0.026,0.047,0.006,73.119,0.000,11783.455,8376.359,6500.969,5415.495,4667.117,3916.670,3337.458,3051.788,2551.434,2432.771,2351.966,1901.731,1770.607,1605.796,1374.770,1342.948,1210.518,1154.588,993.603,972.349,853.204,783.934,703.832,637.540,613.650,575.585,521.825,509.942,472.060,432.575,406.784,376.396,359.794,351.498,311.299,303.670,275.008,274.436,246.421,214.593,204.244,202.140,185.020,183.908,173.804,165.459,151.509,152.221,144.744,133.691,124.982,117.126,106.323,119.289,99.995,93.851,90.200,89.817,76.081,76.225,73.070,75.094,71.577,68.456,60.068,58.894,58.037,61.156,55.784,46.113,50.962,49.149
126.3,0.086,0.028,0.029,0.049,0.006,0.060,0.024,0.058,0.008,0.000,0.000,0.000,0.029,68.257,0.000,12261.058,8987.757,6891.293,5750.063,5008.545,4209.341,3630.280,3340.125,2870.725,2658.308,2500.205,2142.074,1949.844,1721.403,1548.901,1484.798,1356.078,1297.133,1141.055,1085.793,968.813,865.469,833.077,758.669,711.804,640.919,625.676,553.518,557.075,504.961,480.904,464.421,404.658,397.037,352.931,354.382,332.716,311.391,281.902,256.698,239.743,239.662,216.800,204.123,197.053,204.824,170.431,158.866,167.907,144.921,142.932,139.043,129.106,133.382,114.330,122.166,104.556,105.027,101.225,95.515,92.668,90.583,75.391,78.687,74.261,74.324,70.418,73.387,66.621,62.965,63.686,59.792
131.0,0.027,0.025,0.000,0.014,0.025,0.060,0.000,0.027,0.021,0.051,0.000,0.000,0.021,59.137,21855.718,12702.875,9409.627,7339.551,6093.122,5365.508,4488.230,3863.776,3587.842,3089.198,2912.738,2716.833,2301.041,2178.172,1972.738,1768.720,1679.417,1515.988,1462.654,1295.395,1216.275,1043.408,1016.119,918.141,851.929,810.621,731.872,710.553,649.356,597.564,566.404,540.816,514.163,455.786,450.625,435.678,409.383,387.865,351.406,323.025,310.500,290.576,276.027,264.501,257.693,229.720,227.362,207.094,191.805,199.026,176.000,164.925,151.037,148.794,147.627,142.964,133.599,123.332,123.804,124.068,110.560,103.132,98.333,91.658,94.661,92.543,87.680,82.902,85.696,81.015,68.396,69.953,58.825
135.8,0.025,0.029,0.000,0.059,0.055,0.000,0.000,0.053,0.053,0.054,0.000,0.043,0.086,56.307,53517.361,13123.634,9679.668,7686.930,6374.412,5663.005,4791.072,4128.824,3825.282,3324.580,3163.565,2907.552,2541.735,2382.162,2184.288,1944.114,1871.143,1707.984,1608.356,1416.816,1365.436,1195.593,1149.382,1025.559,944.614,896.563,870.996,790.874,754.595,679.380,648.138,608.508,585.689,550.250,535.107,486.731,456.358,427.271,396.216,373.554,337.115,332.857,319.754,304.353,277.509,262.370,251.344,249.795,214.127,218.530,203.911,198.676,177.833,175.747,175.510,163.668,155.794,147.691,148.288,142.312,130.622,115.569,119.424,107.647,111.952,114.349,95.018,99.212,96.693,86.816,84.615,88.550,77.837
